name,image,price,old_price
"Ngày Mai, Ngày Mai, Và Ngày Mai Nữa",https://cdn0.fahasa.com/media/catalog/product/8/9/8935235240797.jpg,202.020 đ,259.000 đ
Điều Kỳ Diệu Của Tiệm Tạp Hóa Namiya (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/8/9/8935235217508_11.jpg,81.900 đ,105.000 đ
Tổng Đài Kể Chuyện Lúc 0h,https://cdn0.fahasa.com/media/catalog/product/8/9/8936213491224.jpg,122.640 đ,168.000 đ
Dược Sư Tự Sự (Light-novel) - Tập 2 - Tặng Kèm Bookmark + Postcard Có Chân Đế,https://cdn0.fahasa.com/media/catalog/product/d/u/duoc-su-tu-su---ln---tap-2---tang-bookmark_postcard.jpg,77.000 đ,110.000 đ
Cuối Con Đường Sẽ Gặp Một Người Thương - Tặng Kèm Bookmark,https://cdn0.fahasa.com/media/catalog/product/0/2/021123-8.jpg,78.840 đ,108.000 đ
Chưa Kịp Lớn Đã Trưởng Thành (Tái Bản 2023),https://cdn0.fahasa.com/media/catalog/product/9/7/9726a839a056959e94aba54e7c1ff0d6_1_1.jpg,57.670 đ,79.000 đ
Phá Đảo Dị Giới Cùng Nữ Thần Không Tín Đồ - Tập 2: Màn Tái Sinh Tai Hại - Tặng Kèm Bookmark + Poster A3,https://cdn0.fahasa.com/media/catalog/product/2/8/280224.jpg,85.000 đ,100.000 đ
Người Đàn Ông Mang Tên OVE (Tái Bản),https://cdn0.fahasa.com/media/catalog/product/8/9/8934974182375.jpg,144.000 đ,160.000 đ
Vì Cậu Là Bạn Nhỏ Của Tớ,https://cdn0.fahasa.com/media/catalog/product/v/_/v_-c_u-l_-b_n-nh_-c_a-t_.jpg,75.240 đ,99.000 đ
Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga - Tập 4 - Bản Phổ Thông - Tặng Kèm Bookmark Bế Hình + Bìa Áo Bonus,https://cdn0.fahasa.com/media/catalog/product/z/4/z4749269235520_9e8aea22702a59ef1f204c51060a5c10.jpg,66.500 đ,95.000 đ
Hàng Sắp về,https://cdn0.fahasa.com/media/catalog/product/b/1/b1_2_10_thanh_ly.jpg,Hàng Sắp Về,hàng sắp về
Bí Ẩn Sau Cánh Cửa Nhà Xác - Ghi Chép Của Người Giải Phẫu Tử Thi,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c-nh_-x_c.jpg,87.600 đ,120.000 đ
Chúa Tể Bóng Tối - Tập 1 - Bản Giới Hạn - Tặng Kèm Character Card + Mini Clearfile,https://cdn0.fahasa.com/media/catalog/product/z/4/z4591439941455_d46af33e3a082fb8bd30a3c951b7e98a.jpg,89.600 đ,128.000 đ
Ma Quỷ Dân Gian Ký - Quyển 2,https://cdn0.fahasa.com/media/catalog/product/f/u/full-bia-ao.jpg,226.480 đ,298.000 đ
Lén Nhặt Chuyện Đời,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043651591_1.jpg,59.500 đ,85.000 đ
Hẹn Nhau Phía Sau Tan Vỡ,https://cdn0.fahasa.com/media/catalog/product/b/i/bia_hen-nhau-sau-tan-vo_2.jpg,65.360 đ,86.000 đ
